,trial,model,show_order,relation,condition,question,question_distance,question_reversed,iftrue,answer,ifcorrect,RT
0,1,fbnp,[0 1 2 3 1 2],<,difficult,n < f,1,0,0,,0,
1,1,fbnp,[0 1 2 3 1 2],<,difficult,p > f,2,1,1,1,1,4.039074864751001
2,1,fbnp,[0 1 2 3 1 2],<,difficult,p < n,0,0,0,1,0,3.3458918922460725
3,2,zrbt,[2 3 0 1 1 2],>,difficult,t < r,1,1,1,0,0,4.884967166595288
4,2,zrbt,[2 3 0 1 1 2],>,difficult,t > z,2,0,1,0,0,2.8287182520307397
5,2,zrbt,[2 3 0 1 1 2],>,difficult,r > b,0,0,1,0,0,2.184984042047745
6,3,bwtz,[2 3 0 1 1 2],<,difficult,b > z,2,1,1,0,0,3.586580902230253
7,3,bwtz,[2 3 0 1 1 2],<,difficult,w < z,1,0,0,0,1,3.1393240643951685
8,3,bwtz,[2 3 0 1 1 2],<,difficult,t > z,0,1,1,1,1,3.0028475278281803
9,4,bfxm,[0 1 2 3 1 2],<,difficult,f < x,0,0,1,1,1,4.175949530927937
10,4,bfxm,[0 1 2 3 1 2],<,difficult,b < m,2,0,1,0,0,3.2026082404640874
11,4,bfxm,[0 1 2 3 1 2],<,difficult,f > m,1,1,0,1,0,4.193079753717029
12,5,mbhj,[0 1 2 3 1 2],>,difficult,h > m,1,0,1,,0,
13,5,mbhj,[0 1 2 3 1 2],>,difficult,j < h,0,1,1,0,0,4.750612349555013
14,5,mbhj,[0 1 2 3 1 2],>,difficult,j > m,2,0,0,0,1,3.363242069356602
15,6,gwbl,[2 3 1 2 0 1],>,easy,l > w,1,0,0,,0,
16,6,gwbl,[2 3 1 2 0 1],>,easy,l > g,2,0,1,,0,
17,6,gwbl,[2 3 1 2 0 1],>,easy,w > g,0,0,0,1,0,1.441283255291637
18,7,nrcm,[0 1 1 2 2 3],>,easy,n > m,2,0,0,1,0,4.178165867676398
19,7,nrcm,[0 1 1 2 2 3],>,easy,c > m,0,0,0,1,0,1.440509523980836
20,7,nrcm,[0 1 1 2 2 3],>,easy,r > m,1,0,0,0,1,0.779305124567145
21,8,rgbd,[2 3 1 2 0 1],>,easy,b > r,1,0,1,1,1,2.873676997282928
22,8,rgbd,[2 3 1 2 0 1],>,easy,g > r,0,0,1,1,1,2.7649228972040873
23,8,rgbd,[2 3 1 2 0 1],>,easy,d > r,2,0,0,0,1,3.8496905074762253
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,,,,,,
31,,,,,,,,,,,,
32,,,,,,,,,,,,
33,,,,,,,,,,,,
34,,,,,,,,,,,,
35,,,,,,,,,,,,
36,,,,,,,,,,,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,,,,,,
41,,,,,,,,,,,,
42,,,,,,,,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
